year_built,permalink,property_id,listing,primary_photo,sold_date,lot_sqft,sqft,baths,garages,beds,postal_code,state,city,recreation_facilities,single_story,garage_1_or_more,hardwood_floors,dining_room,community_security_features,garage_2_or_more,two_or_more_stories,forced_air,shopping,central_air,basement,community_outdoor_space,dishwasher,fireplace,washer_dryer
1950,191-Rankin-Ave_Providence_RI_02908_M31385-65083,3138565083,2960721202,https://ap.rdcpix.com/9e3c0fd27294d2f1ad0eb274736f8541l-m381499327s-w1024_h768.jpg,2024-01-03,10001,2450,2,2,4,2908,Rhode Island,Providence,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0
1979,2431-E-Provincial-House-Dr_Lansing_MI_48910_M33589-23277,3358923277,2962048127,https://ap.rdcpix.com/c6b19bd4e4e705997b5108d5d5c9b18fl-m3209839718s-w1024_h768.jpg,2024-01-12,13939,1028,1,0,3,48910,Michigan,Lansing,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0
1961,507-Timothy-Dr_Frankfort_KY_40601_M36814-67163,3681467163,2960576352,https://ap.rdcpix.com/67b32e3c10e547ece6c8a7e927b48dbdl-m3562683892s-w1024_h768.jpg,2023-12-07,26484,2548,3,0,4,40601,Kentucky,Frankfort,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0
1900,150-Westland-St_Hartford_CT_06120_M39473-81889,3947381889,2958667446,https://ap.rdcpix.com/e977bb762211cdee21271fecf14e397cl-m3670378326s-w1024_h768.jpg,2023-12-22,10019,2074,3,0,6,6120,Connecticut,Hartford,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1962,8470-Corona-St_Denver_CO_80229_M25659-21115,2565921115,2960145891,https://ap.rdcpix.com/b75cd7d9486f75274cd7d06febaddcaal-b3667858855s-w1024_h768.jpg,2023-11-21,7600,2028,2,1,5,80229,Colorado,Denver,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0
1954,400-E-Wall-Ave_Des-Moines_IA_50315_M88109-83023,8810983023,2961892211,https://ap.rdcpix.com/5159051faa9deca04bc432fe76f34d56l-m3675219446s-w1024_h768.jpg,2024-01-10,9017,720,1,0,2,50315,Iowa,Des Moines,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1
1967,511-E-Moye-Dr_Montgomery_AL_36109_M86565-36510,8656536510,2961407982,https://ap.rdcpix.com/507ad2927a9339560b3ad0e2cd538a31l-m1808079882s-w1024_h768.jpg,2024-01-08,12632,1892,2,0,4,36109,Alabama,Montgomery,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0
1979,6109-Trinity-Rd_Raleigh_NC_27607_M55528-23724,5552823724,2959546261,https://ap.rdcpix.com/147b1b2251c4cdc90db76acff709a3ccl-m4282586802s-w1024_h768.jpg,2024-01-16,21344,1071,2,0,3,27607,North Carolina,Raleigh,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
1896,891-Revere-Ave_Trenton_NJ_08629_M60112-21536,6011221536,2961608841,https://ap.rdcpix.com/97d41750bdba42c55b3e9a910bb999eel-m1569000379s-w1024_h768.jpg,2023-12-20,4199,1904,2,2,4,8629,New Jersey,Trenton,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
1904,549-3rd-St_Albany_NY_12206_M48715-25170,4871525170,2961574067,https://ap.rdcpix.com/de2356ff4a88d781e7aa1ea41d23ff98l-m1857524216s-w1024_h768.jpg,2024-01-08,139043520,1848,2,0,4,12206,New York,Albany,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1952,2725-NW-64th-St_Oklahoma-City_OK_73116_M85023-36490,8502336490,2961861666,https://ap.rdcpix.com/2bb964061e9d2b6790b3f3d26c34fb8el-m1874921103s-w1024_h768.jpg,2024-01-12,7614,924,1,1,2,73116,Oklahoma,Oklahoma City,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2003,823-Celeste-Ln-SW_Atlanta_GA_30331_M65735-06797,6573506797,2960375003,https://ap.rdcpix.com/89a7c1be33114627ba930ec374749946l-m2051325094s-w1024_h768.jpg,2024-01-08,1307,1600,3,1,3,30331,Georgia,Atlanta,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1
1992,1531-W-Lake-Ct_Lincoln_NE_68522_M85361-09155,8536109155,2962661163,https://ap.rdcpix.com/efa8eceb9e2577f58e5abc1032811510l-b2716331201s-w1024_h768.jpg,2024-01-08,9560,1861,2,2,3,68522,Nebraska,Lincoln,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1
1958,3026-Baker-Hill-Rd_Columbus_OH_43207_M43037-60561,4303760561,2959978769,https://ap.rdcpix.com/bde37ec2d08dfa5a7531cfe4b1f977dcl-m3383828098s-w1024_h768.jpg,2023-12-07,5998,1200,1,2,3,43207,Ohio,Columbus,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0
1964,8034-Sherman-St_Denver_CO_80221_M14729-24320,1472924320,2959674939,https://ap.rdcpix.com/bdc59c7d5cf6d57fcc53925109037c74l-m877536549s-w1024_h768.jpg,2023-11-09,7405,1824,2,0,3,80221,Colorado,Denver,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1
1997,2679-Fort-Rock-Ct-SE_Salem_OR_97306_M29956-89512,2995689512,2962053488,https://ap.rdcpix.com/3cd5ea4cb09c1d356d0eec3921a39703l-m4198762635s-w1024_h768.jpg,2024-01-08,10019,2197,3,2,4,97306,Oregon,Salem,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0
1928,2097-Niles-Ave_Saint-Paul_MN_55116_M88582-63293,8858263293,2960562368,https://ap.rdcpix.com/ddc1d05e4bdd32750786a9f5ae6c4d64l-b851659267s-w1024_h768.jpg,2024-01-12,6098,3106,4,2,4,55116,Minnesota,Saint Paul,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1
1983,2-Tiburon-Ct_Annapolis_MD_21403_M56219-19948,5621919948,2961972950,https://ap.rdcpix.com/bd8dce2ba6ae34caa50d35eed3c57276l-m3829562587s-w1024_h768.jpg,2023-12-27,1216,1086,2,0,1,21403,Maryland,Annapolis,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1
2016,3234-Lebanon-Rd_Frankfort_KY_40601_M94257-21160,9425721160,2962029842,https://ap.rdcpix.com/8cb40579bc72a3a16bc818eecac48500l-m1627007058s-w1024_h768.jpg,2023-12-29,236966,1494,2,0,3,40601,Kentucky,Frankfort,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
1986,8200-Hunt-Rd_Springfield_IL_62712_M83995-54728,8399554728,2961797365,https://ap.rdcpix.com/11e0f1a67a60cda92463748dd7f633e6l-m3445399604s-w1024_h768.jpg,2023-12-18,11238,1470,2,2,3,62712,Illinois,Springfield,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1
1926,1381-Payne-Ave_Saint-Paul_MN_55130_M72873-21156,7287321156,2961520332,https://ap.rdcpix.com/8f2d8c02d29e4cfcc88df191aa99f747l-m4264985797s-w1024_h768.jpg,2024-01-11,5358,1348,1,2,3,55130,Minnesota,Saint Paul,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1
1974,740-Crain-St_Carson-City_NV_89703_M28924-75354,2892475354,2959713758,https://ap.rdcpix.com/0bf9acc7d2b11fa926f1798ad434f835l-b2374051355s-w1024_h768.jpg,2024-01-10,6098,1391,2,1,4,89703,Nevada,Carson City,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1
1910,178-N-Lake-Ave_Albany_NY_12206_M49842-17380,4984217380,2957554822,https://ap.rdcpix.com/c678e17dff5ad5f506cd0d296b29690el-m2556754902s-w1024_h768.jpg,2023-12-27,1307,1560,2,0,5,12206,New York,Albany,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2000,421-Briar-Patch-Ln_Frankfort_KY_40601_M47964-20659,4796420659,2961410130,https://ap.rdcpix.com/112ee6f042fba67e33ee900c3a2fc540l-m532306316s-w1024_h768.jpg,2023-12-28,7841,1620,2,1,4,40601,Kentucky,Frankfort,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0
2018,155-Fairmont-Ln_Dover_DE_19904_M62928-43165,6292843165,2959041006,https://ap.rdcpix.com/04d5768045c5907c2ca71a199cfb5b69l-m2392410109s-w1024_h768.jpg,2023-11-30,10376,1943,2,2,2,19904,Delaware,Dover,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1
1975,3592-Green-Acre-Dr_Carson-City_NV_89705_M27271-07811,2727107811,2959735377,https://ap.rdcpix.com/8ef75c2c79537d0266f751fbb217ab6bl-b4201847598s-w1024_h768.jpg,2023-12-21,61855,3182,5,3,6,89705,Nevada,Carson City,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1
2013,2722-Bur-Ct_Harrisburg_PA_17112_M40850-14275,4085014275,2960823390,https://ap.rdcpix.com/ade15664a2e83986c126a23d5d4d882bl-m1859677996s-w1024_h768.jpg,2024-01-12,2688,2400,3,1,3,17112,Pennsylvania,Harrisburg,0,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0
1951,602-W-32nd-St_Richmond_VA_23225_M60212-25010,6021225010,2962395944,https://ap.rdcpix.com/95f51ae37800b50aa1a6fd0811b06447l-m220108659s-w1024_h768.jpg,2024-01-16,6882,1225,1,0,2,23225,Virginia,Richmond,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1
1989,2346-Timber-Line-Ct_Harrisburg_PA_17112_M39852-14371,3985214371,2960559948,https://ap.rdcpix.com/2e6d10c477c97c7ee4758f5a668304c7l-b2288391653s-w1024_h768.jpg,2023-12-29,42689,4733,4,2,4,17112,Pennsylvania,Harrisburg,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0
2015,2721-N-Pierce-St_Little-Rock_AR_72207_M78083-80626,7808380626,2959910025,https://ap.rdcpix.com/1643ce93117e2cc4a272fcd99354de51l-m3573696276s-w1024_h768.jpg,2024-01-05,6098,3314,5,2,5,72207,Arkansas,Little Rock,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0
1985,146-Spruance-Rd_Dover_DE_19901_M55685-60897,5568560897,2960842027,https://ap.rdcpix.com/14e510eefe10474604aedf91079dfa40l-b3126640185s-w1024_h768.jpg,2023-11-30,4792,1064,2,0,3,19901,Delaware,Dover,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
1957,3211-Batesfield-Rd_Harrisburg_PA_17109_M34839-21135,3483921135,2962563674,https://ap.rdcpix.com/4095f873db647cf428b758b20dff6f26l-m400076740s-w1024_h768.jpg,2024-01-12,8712,1092,1,0,3,17109,Pennsylvania,Harrisburg,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0
1999,995-Heatherbrook-Ln-NE_Atlanta_GA_30324_M60009-92752,6000992752,2961311158,https://ap.rdcpix.com/d05d9a8fc9d6615ecd365b0fd1bfabefl-m236780098s-w1024_h768.jpg,2024-01-08,1124,2172,4,2,4,30324,Georgia,Atlanta,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0
1938,3920-Biscay-St-NW_Olympia_WA_98502_M26801-65074,2680165074,2962078665,https://ap.rdcpix.com/c25f7e51cde2d4b0edf031ad629cf9e8l-m1844137853s-w1024_h768.jpg,2024-01-10,43560,1208,1,0,2,98502,Washington,Olympia,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1
2023,5668-Drifton-Way_Sacramento_CA_95835_M92980-40019,9298040019,2962632704,https://ap.rdcpix.com/fa6c878872ac21ccf299a108552814d4l-m1324217485s-w1024_h768.jpg,2024-01-12,7200,3391,4,3,5,95835,California,Sacramento,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0
1999,2097-Mink-Run-Rd_Frankfort_KY_40601_M35171-14695,3517114695,2959875469,https://ap.rdcpix.com/2c0f58e3f93e47190f02497b9d06902el-m3726172093s-w1024_h768.jpg,2023-12-19,145490,1250,2,0,3,40601,Kentucky,Frankfort,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
1978,4387-Wares-Ferry-Rd_Montgomery_AL_36109_M78991-23899,7899123899,2962211734,https://ap.rdcpix.com/cf5788032ffb9fa45853c80e986d38c7l-m3464357290s-w1024_h768.jpg,2024-01-01,26136,1500,2,0,4,36109,Alabama,Montgomery,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2006,2539-Preston-View-Ct-SW_Atlanta_GA_30315_M64523-31770,6452331770,2961987122,https://ap.rdcpix.com/37812f7642ef85fb999dc7e87b6dba0dl-m2816726459s-w1024_h768.jpg,2024-01-12,5663,2400,3,2,3,30315,Georgia,Atlanta,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1
1985,6720-Amur-Dr_Columbus_OH_43235_M36761-79313,3676179313,2959072019,https://ap.rdcpix.com/9c075a833d44330bbe0815d063cb12ddl-m1923704544s-w1024_h768.jpg,2023-10-02,11047,2561,3,2,4,43235,Ohio,Columbus,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
2001,1517-Byron-St_Richmond_VA_23222_M56869-12424,5686912424,2962579593,https://ap.rdcpix.com/ef91072bdc9b3085349a9b5af9167182l-m1009075472s-w1024_h768.jpg,2024-01-16,8276,1002,2,0,3,23222,Virginia,Richmond,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0
1998,2100-Oakcrest-Ct_Raleigh_NC_27612_M57600-74151,5760074151,2954807059,https://ap.rdcpix.com/ad0185a7bd556952582de9d34f18003bl-m4278693711s-w1024_h768.jpg,2024-01-16,50094,2857,3,2,3,27612,North Carolina,Raleigh,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0
1896,205-N-Prospect-Ave_Madison_WI_53726_M74475-93323,7447593323,2956493597,https://ap.rdcpix.com/0fddcab538cd70f75670b010aaaa46e5l-m1541564077s-w1024_h768.jpg,2024-01-02,13939,6761,6,2,8,53726,Wisconsin,Madison,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1
1954,2834-E-18th-St_Indianapolis_IN_46218_M48338-37899,4833837899,2961630179,https://ap.rdcpix.com/16c0a7229f75e6a747eb0cef43ebcb4fl-m307704757s-w1024_h768.jpg,2023-12-16,6970,1360,1,2,2,46218,Indiana,Indianapolis,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
1967,511-E-Moye-Dr_Montgomery_AL_36109_M86565-36510,8656536510,2961407982,https://ap.rdcpix.com/507ad2927a9339560b3ad0e2cd538a31l-m1808079882s-w1024_h768.jpg,2024-01-08,12632,1892,2,0,4,36109,Alabama,Montgomery,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0
1964,3010-Merrimac-Dr_Montgomery_AL_36111_M83525-09580,8352509580,2960801836,https://ap.rdcpix.com/c704f914e5df95fd8f584bce195392ccl-m2962031652s-w1024_h768.jpg,2024-01-05,16553,2349,2,0,4,36111,Alabama,Montgomery,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1995,6101-Cottontail-Trl_Madison_WI_53718_M95196-46262,9519646262,2962382833,https://ap.rdcpix.com/39848708976a8607b671beb2b444ee9al-m3722959275s-w1024_h768.jpg,2024-01-12,13504,3521,3,4,3,53718,Wisconsin,Madison,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1
1952,3308-Detroit-Ave_Richmond_VA_23222_M57123-37762,5712337762,2962309155,https://ap.rdcpix.com/3df06d0dd0ce545aebd635e33b848a08l-m704304969s-w1024_h768.jpg,2024-01-16,8472,1481,2,0,4,23222,Virginia,Richmond,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0
2019,812-Grove-Creek-Ln_Raleigh_NC_27610_M91096-89963,9109689963,2960767352,https://ap.rdcpix.com/e467b3f3cc7715a4e5a218e20c9c748fl-m640016515s-w1024_h768.jpg,2024-01-11,5227,1246,2,0,3,27610,North Carolina,Raleigh,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1912,556-Charles-Ave_Saint-Paul_MN_55103_M70211-24934,7021124934,2961570721,https://ap.rdcpix.com/67c4b5ccdb3022ac8877b49f1dcbf7ael-m699214882s-w1024_h768.jpg,2024-01-12,2788,1517,1,0,4,55103,Minnesota,Saint Paul,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1
2003,1019-Schmitt-Rd_Indianapolis_IN_46239_M36218-95033,3621895033,2960731646,https://ap.rdcpix.com/d2778513e495836cceb07b789722f044l-m3692497960s-w1024_h768.jpg,2023-12-27,25265,2376,2,2,3,46239,Indiana,Indianapolis,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0
1935,8-Chestnut-Ave-A_Boston_MA_02130_M95365-48761,9536548761,2960861942,https://ap.rdcpix.com/207288510564442b2bec88ace0bd4c8fl-m901882544s-w1024_h768.jpg,2024-01-12,6297,526,1,0,1,2130,Massachusetts,Boston,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0
1953,1043-Loeb-St_Saint-Paul_MN_55117_M70400-35214,7040035214,2959093430,https://ap.rdcpix.com/075cd3c0cdab8f07d429dcdc29e47217l-m855396486s-w1024_h768.jpg,2024-01-09,5706,1133,2,0,3,55117,Minnesota,Saint Paul,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1
2005,2109-Hopeton-Ave_Raleigh_NC_27614_M55296-62497,5529662497,2961497059,https://ap.rdcpix.com/ab08f0654e20e5f11bf3a7dcc786fdc6l-m2885665501s-w1024_h768.jpg,2024-01-16,6534,3115,3,2,4,27614,North Carolina,Raleigh,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
1927,1524-40th-St_Sacramento_CA_95819_M23097-41759,2309741759,2960914227,https://ap.rdcpix.com/6bf63584b79dad9463d25e42edd2bc9cl-m2350524491s-w1024_h768.jpg,2024-01-16,4848,1727,2,2,3,95819,California,Sacramento,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0
1989,705-Greenwich-Dr_Albany_NY_12203_M41884-77710,4188477710,2962009313,https://ap.rdcpix.com/fcf8a3d862e0fc326b19bc69d9c788a7l-m331880363s-w1024_h768.jpg,2024-01-11,436,1050,1,0,2,12203,New York,Albany,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1
2001,8087-Ansley-Trce_Montgomery_AL_36117_M84265-16593,8426516593,2960634023,https://ap.rdcpix.com/f889213d9dfd57b59f59fa63154356b7l-m3228417647s-w1024_h768.jpg,2024-01-05,6534,1742,2,2,3,36117,Alabama,Montgomery,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0
2023,4940-Esma-Jane-Ln_Sacramento_CA_95822_M92991-62853,9299162853,2962016589,https://ap.rdcpix.com/f46a01d216ef119ecebabe169e764a98l-m4186160025s-w1024_h768.jpg,2024-01-11,1947,1540,3,2,3,95822,California,Sacramento,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0
1940,5947-Compton-St_Indianapolis_IN_46220_M32774-44703,3277444703,2958043716,https://ap.rdcpix.com/0411e1a1f9cfc02470f3fc65a014bfdel-m3274180018s-w1024_h768.jpg,2023-09-05,3485,1038,1,1,2,46220,Indiana,Indianapolis,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0
1973,13-Pawling-St_Menands_NY_12204_M36800-24339,3680024339,2960011386,https://ap.rdcpix.com/f4ed463f6ce99035a6596660cdfed473l-m739343421s-w1024_h768.jpg,2024-01-12,6098,1428,2,1,3,12204,New York,Menands,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1
1913,686-Duluth-St_Saint-Paul_MN_55106_M78224-00263,7822400263,2961817316,https://ap.rdcpix.com/fc4a5358962219257169c38f18f48467l-m2214558808s-w1024_h768.jpg,2024-01-16,4879,1379,2,2,3,55106,Minnesota,Saint Paul,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1
1945,7370-Narrow-Lane-Rd_Montgomery_AL_36116_M94388-57823,9438857823,2959489307,https://ap.rdcpix.com/db0008abd1e8694dbc1a432cca961a96l-m3474430148s-w1024_h768.jpg,2024-01-08,313632,3092,3,0,3,36116,Alabama,Montgomery,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
1959,5014-SW-16th-St_Des-Moines_IA_50315_M81647-71985,8164771985,2962132635,https://ap.rdcpix.com/37b46799350513860308f20b532a654fl-m997243579s-w1024_h768.jpg,2024-01-10,14702,1083,2,2,3,50315,Iowa,Des Moines,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,0
1956,4746-N-34th-Dr_Phoenix_AZ_85017_M22820-94344,2282094344,2961693636,https://ap.rdcpix.com/673a2b12ebc2f17972cfaeb0968cfe94l-m1685795949s-w1024_h768.jpg,2023-12-22,7410,2155,2,0,5,85017,Arizona,Phoenix,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2000,45-Bouresse-Dr_Little-Rock_AR_72223_M77857-09635,7785709635,2959582239,https://ap.rdcpix.com/9357e0fe18383b58e07e3b28028d79c2l-m620784061s-w1024_h768.jpg,2024-01-10,8712,2340,3,2,4,72223,Arkansas,Little Rock,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0
1925,473-Lynwood-Ave_Trenton_NJ_08629_M58506-75484,5850675484,2958423069,https://ap.rdcpix.com/f3e3f3fe3145fe60f4ed6ce7e5150181l-m732766828s-w1024_h768.jpg,2023-12-21,2461,1380,1,0,4,8629,New Jersey,Trenton,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
2008,3621-Vinings-Slope-SE-Unit-1330_Atlanta_GA_30339_M59890-15160,5989015160,2958546925,https://ap.rdcpix.com/37be542468e73faed15f4573fa493e86l-m2242027745s-w1024_h768.jpg,2024-01-08,8930,1363,2,2,2,30339,Georgia,Atlanta,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1
1920,1020-W-21st-St_Little-Rock_AR_72206_M75805-97887,7580597887,2960279524,https://ap.rdcpix.com/408833d93ca3b81c13cd92ca9bbf71f1l-m3362602366s-w1024_h768.jpg,2024-01-05,6970,1428,1,0,3,72206,Arkansas,Little Rock,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
1900,215-Perry-St_Trenton_NJ_08618_M67842-82877,6784282877,2960396827,https://ap.rdcpix.com/861dc9d0098731decd7e342e59d7eb1al-m459399305s-w1024_h768.jpg,2023-12-06,2033,1824,1,0,5,8618,New Jersey,Trenton,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1969,8221-Buffin-Rd_Henrico_VA_23231_M58426-08828,5842608828,2960892234,https://ap.rdcpix.com/4f03ecaf974a0c63793ed1c27ad7c6ddl-m157187390s-w1024_h768.jpg,2024-01-11,66777,1378,2,0,3,23231,Virginia,Henrico,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1
2005,404-Worchester-Dr_Dover_DE_19904_M52088-82615,5208882615,2957946594,https://ap.rdcpix.com/8642cc392184b196195bfaad9d558f90l-m4207850844s-w1024_h768.jpg,2023-12-28,4678,1734,3,1,3,19904,Delaware,Dover,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0
1965,1568-W-Campbell-Ave_Phoenix_AZ_85015_M16004-51617,1600451617,2960966614,https://ap.rdcpix.com/87b0eab42ae589ea7f5894e75d1e2e57l-m751273271s-w1024_h768.jpg,2023-12-22,1213,1120,2,0,2,85015,Arizona,Phoenix,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
2015,3537-W-40th-Ave_Denver_CO_80211_M17270-13083,1727013083,2960460159,https://ap.rdcpix.com/13f5a5999aab142399b0d98c00fa2a98l-b3874210055s-w1024_h768.jpg,2023-11-15,4370,3563,4,2,4,80211,Colorado,Denver,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
1875,1150-Balthaser-St_Harrisburg_PA_17112_M38166-97779,3816697779,2958306838,https://ap.rdcpix.com/713f38eb940502e8d6b170b4be788d68l-m3767459543s-w1024_h768.jpg,2024-01-11,29621,2966,2,0,4,17112,Pennsylvania,Harrisburg,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
1950,180-Pembroke-St_Hartford_CT_06112_M42504-01600,4250401600,2956334083,https://ap.rdcpix.com/efa7cf46514aaa1cd934f5fdc5a10627l-b4077313841s-w1024_h768.jpg,2024-01-05,8712,1540,1,1,4,6112,Connecticut,Hartford,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1972,6690-Kennerdown-St_Columbus_OH_43229_M33510-08102,3351008102,2958284953,https://ap.rdcpix.com/67a8048b94da1101d5f06400c694f8bal-m733527937s-w1024_h768.jpg,2023-10-20,7865,2004,3,2,4,43229,Ohio,Columbus,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,0
1955,2601-N-61st-St_Lincoln_NE_68507_M82394-45138,8239445138,2962826454,https://ap.rdcpix.com/8332ff619b3dfacc85938be90f683b4el-m2979014375s-w1024_h768.jpg,2024-01-12,6970,785,1,0,2,68507,Nebraska,Lincoln,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1952,6343-Maple-Dr_Indianapolis_IN_46220_M40788-85635,4078885635,2957150762,https://ap.rdcpix.com/839bee2bf6e8d5e99a33bacb5e081b36l-m553059854s-w1024_h768.jpg,2023-08-24,9583,2160,2,1,4,46220,Indiana,Indianapolis,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0
1956,1331-Jody-Ln-NE_Atlanta_GA_30329_M62043-34109,6204334109,2962409594,https://ap.rdcpix.com/415d706503049ca658d016afc0fd7125l-b448307689s-w1024_h768.jpg,2024-01-11,13068,2046,2,0,4,30329,Georgia,Atlanta,1,1,0,1,0,1,0,0,0,0,1,1,1,1,0,1
1971,2328-Skyland-Dr_Tallahassee_FL_32303_M53143-15119,5314315119,2959691446,https://ap.rdcpix.com/b3a641a4f43250508697b6e242b2a338l-m2733945500s-w1024_h768.jpg,2024-01-11,10019,1512,3,0,4,32303,Florida,Tallahassee,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1947,1306-President-St_Annapolis_MD_21403_M68545-20038,6854520038,2962067957,https://ap.rdcpix.com/48fe7466f99ebcaea0fd971d7963b996l-m3844073535s-w1024_h768.jpg,2023-12-21,8030,1526,2,0,3,21403,Maryland,Annapolis,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0
2005,100-Palmer-Dr_Frankfort_KY_40601_M41433-86712,4143386712,2960869908,https://ap.rdcpix.com/90b563035988dd9ef387467feb4f897cl-b4228615607s-w1024_h768.jpg,2024-01-12,6077,2461,3,2,4,40601,Kentucky,Frankfort,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0
2005,714-North-Star-Dr_Madison_WI_53718_M71760-24507,7176024507,2961470815,https://ap.rdcpix.com/4c42f20636b5eccfdc0004c081c14180l-m1384283257s-w1024_h768.jpg,2024-01-12,4356,1975,3,2,4,53718,Wisconsin,Madison,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1
1930,1001-N-Nevada-St_Carson-City_NV_89703_M14963-94281,1496394281,2961743264,https://ap.rdcpix.com/f33d53067a1c4c3f2777501320452546l-m3996037185s-w1024_h768.jpg,2023-12-18,4792,1577,1,1,4,89703,Nevada,Carson City,0,0,1,1,0,1,0,1,1,1,0,0,1,0,1,1
1959,7355-E-48th-St_Indianapolis_IN_46226_M30293-67250,3029367250,2958681953,https://ap.rdcpix.com/d66363209240b2e3c8856982b7bf72d3l-m2206208754s-w1024_h768.jpg,2023-10-05,7841,957,1,1,3,46226,Indiana,Lawrence,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1971,2328-Skyland-Dr_Tallahassee_FL_32303_M53143-15119,5314315119,2959691446,https://ap.rdcpix.com/b3a641a4f43250508697b6e242b2a338l-m2733945500s-w1024_h768.jpg,2024-01-11,10019,1512,3,0,4,32303,Florida,Tallahassee,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
